lookback,invalid_days,range,up,down,raw,exact_match,trend_binary_match,report_trend_recall
60,20,1301,65,184,279,0.6419354838709678,0.6419354838709678,0.30583756345177665
60,15,1321,60,169,279,0.6290322580645161,0.6290322580645161,0.28045685279187815
120,20,1334,65,151,272,0.6245161290322581,0.6245161290322581,0.26776649746192893
60,10,1341,55,154,279,0.6161290322580645,0.6161290322580645,0.2550761421319797
120,15,1354,60,136,272,0.6141935483870967,0.6141935483870967,0.24492385786802032
120,10,1374,55,121,272,0.6012903225806452,0.6012903225806452,0.21954314720812182
500,15,1326,60,164,295,0.5729032258064516,0.5729032258064516,0.22208121827411167
250,15,1327,60,163,307,0.572258064516129,0.572258064516129,0.22081218274111675
120,5,1431,13,106,272,0.5645161290322581,0.5645161290322581,0.14720812182741116
500,20,1291,65,194,295,0.5632258064516129,0.5632258064516129,0.23477157360406092
250,20,1292,65,193,307,0.5625806451612904,0.5625806451612904,0.233502538071066
120,3,1439,11,100,272,0.5593548387096774,0.5593548387096774,0.13705583756345177
500,10,1365,55,130,295,0.5541935483870968,0.5541935483870968,0.17893401015228427
250,10,1367,55,128,307,0.5529032258064516,0.5529032258064516,0.17639593908629442
60,5,1455,13,82,279,0.5425806451612903,0.5425806451612903,0.11040609137055837
expanding,10,1408,55,87,244,0.5419354838709678,0.5419354838709678,0.13959390862944163
expanding,15,1398,60,92,244,0.5419354838709678,0.5419354838709678,0.14593908629441624
expanding,20,1388,65,97,244,0.5419354838709678,0.5419354838709678,0.15228426395939088
500,3,1465,11,74,295,0.5412903225806451,0.5412903225806451,0.10279187817258884
500,5,1442,13,95,295,0.5367741935483871,0.5367741935483871,0.11294416243654823
60,3,1465,11,74,279,0.5361290322580645,0.5361290322580645,0.09771573604060914
120,1,1479,7,64,272,0.5335483870967742,0.5335483870967742,0.08629441624365482
expanding,5,1487,13,50,244,0.532258064516129,0.532258064516129,0.0799492385786802
250,1,1478,7,65,307,0.5316129032258065,0.5316129032258065,0.0850253807106599
500,1,1485,7,58,295,0.5309677419354839,0.5309677419354839,0.0799492385786802
expanding,3,1491,11,48,244,0.5296774193548387,0.5296774193548387,0.07487309644670051
250,5,1424,13,113,307,0.5225806451612903,0.5225806451612903,0.11040609137055837
expanding,1,1503,7,40,244,0.5219354838709678,0.5219354838709678,0.05964467005076142
250,3,1432,11,107,307,0.52,0.52,0.10279187817258884
60,1,1500,7,43,279,0.5161290322580645,0.5161290322580645,0.05583756345177665
